# t(ms),snrc1,snrc2,snrc3
2,51,51,51
250,28,28,28
498,30,30,30
746,26,27,27
993,27,27,27
1241,29,29,29
1489,26,26,26
1737,28,29,29
1984,25,30,31
2232,30,25,24
2480,28,31,32
2728,27,27,28
2975,13,28,27
3223,19,30,30
3471,18,29,29
3719,9,29,29
3966,17,31,31
4214,15,23,24
4462,15,26,25
4710,13,30,30
4958,15,32,32
5205,12,29,29
5453,13,29,30
5701,10,27,27
5949,14,2,31
6196,10,3,26
6444,14,12,28
6692,15,11,31
6940,17,4,30
7187,17,9,27
7435,10,3,27
7683,17,12,29
7931,18,9,29
8178,14,6,29
8426,11,12,28
8674,10,13,29
8922,9,1,31
9169,9,13,27
9417,22,6,25
9665,19,2,31
